,dataset,SScv_avg_k,SScv_mean_acc,SScv_std_acc,SSpi_avg_k,SSpi_mean_acc,SSpi_std_acc
0,Chinatown,6,0.965014577,0.018374801,2,0.941690962,0.040015986
1,ItalyPowerDemand,20,0.955944282,0.007268807,4,0.93877551,0.008134033
2,SonyAIBORobotSurface1,10,0.954520244,0.014340192,2,0.911397671,0.032073738
3,SonyAIBORobotSurface2,23,0.931182232,0.029655868,4,0.900752011,0.049733793
4,TwoLeadECG,18,0.9991952,0.000633615,2,0.969344454,0.007202435
5,MoteStrain,17,0.87879393,0.016582301,4,0.838258786,0.030464787
6,ECGFiveDays,3,0.99970964,0.000502918,2,0.990902052,0.010208128
7,ECG200,17,0.869166667,0.035852708,4,0.828333333,0.029107082
8,GunPoint,20,0.994444444,0.001924501,5,0.969444444,0.017873009
9,DodgerLoopWeekend,3,0.979468599,0.007733242,2,0.981884058,0.002700565
10,DodgerLoopGame,5,0.766908213,0.05482879,3,0.714371981,0.112485915
11,Coffee,14,0.979166667,0.021254251,3,0.928571429,0.043740888
12,FreezerSmallTrain,19,0.998538012,0.000526316,1,0.99745614,0.000736819
13,ToeSegmentation1,21,0.95248538,0.00318633,2,0.926900585,0.006934819
14,Wine,23,0.895061728,0.044298457,10,0.864197531,0.03599353
15,GunPointAgeSpan,23,0.951476793,0.018497551,11,0.940664557,0.022861049
16,GunPointMaleVersusFemale,20,0.96914557,0.019781997,8,0.964398734,0.014509013
17,ShapeletSim,3,0.975462963,0.042499395,3,0.971759259,0.048914398
18,BirdChicken,8,0.9375,0.064951905,3,0.8875,0.073950997
19,BeetleFly,19,0.970833333,0.018162079,3,0.858333333,0.038188131
20,GunPointOldVersusYoung,22,0.975661376,0.008498613,10,0.967989418,0.007932098
21,ToeSegmentation2,13,0.948076923,0.023316069,3,0.909615385,0.027934306
22,PowerCons,20,0.874074074,0.016197089,8,0.847685185,0.015950401
23,DistalPhalanxOutlineCorrect,16,0.784219002,0.040355156,9,0.764130435,0.035125416
24,ProximalPhalanxOutlineCorrect,26,0.8639748,0.006135248,14,0.850801833,0.003070964
25,MiddlePhalanxOutlineCorrect,25,0.782359679,0.020792823,16,0.769473081,0.015524784
26,Herring,15,0.647135417,0.023109687,11,0.61328125,0.050412658
27,FreezerRegularTrain,6,0.998362573,0.000590614,1,0.997777778,0.000982038
28,Lightning2,5,0.758196721,0.030516814,5,0.696721311,0.036554886
29,Ham,25,0.815079365,0.011307783,8,0.771428571,0.017817416
30,HouseTwenty,10,0.973389356,0.015019335,4,0.929271709,0.033224583
31,Yoga,29,0.816666667,0.021444301,15,0.813,0.026336263
32,WormsTwoClass,15,0.781385281,0.038048476,7,0.741341991,0.046259113
33,Strawberry,25,0.948873874,0.01234226,8,0.949099099,0.007866779
34,Earthquakes,24,0.900868494,0.093680498,14,0.889020675,0.104839085
35,Computers,8,0.738609113,0,6,0.707434053,0
36,Wafer,8,0.999878326,0.000210746,4,0.99979721,0.000176789
37,PhalangesOutlinesCorrect,23,0.726010101,0.010566121,12,0.71454934,0.008890528
