,dataset,SScv_avg_k,SScv_mean_acc,SScv_std_acc,SSpi_avg_k,SSpi_mean_acc,SSpi_std_acc
0,Chinatown,2,0.978620019,0.002061536,2,0.969873664,0.011922103
1,ItalyPowerDemand,10,0.957968902,0.004554629,4,0.954000648,0.004291429
2,SonyAIBORobotSurface1,9,0.963255685,0.012459928,1,0.941209096,0.031160697
3,SonyAIBORobotSurface2,24,0.919202518,0.037361057,6,0.883613151,0.058239181
4,TwoLeadECG,13,0.995463857,0.004526693,1,0.97292947,0.025115901
5,MoteStrain,25,0.867944622,0.033703378,4,0.831403088,0.050907827
6,ECGFiveDays,6,0.99912892,0.000963015,1,0.99767712,0.001836398
7,ECG200,22,0.838333333,0.020615528,6,0.8175,0.03616129
8,GunPoint,21,0.988888889,0.005443311,3,0.958333333,0.028604368
9,DodgerLoopWeekend,7,0.974033816,0.011879418,2,0.948067633,0.038703914
10,DodgerLoopGame,15,0.718599034,0.087031972,4,0.64794686,0.134913437
11,Coffee,7,0.982142857,0.017857143,1,0.949404762,0.036084392
12,FreezerSmallTrain,14,0.999181287,0.000535974,1,0.998216374,0.000477782
13,ToeSegmentation1,20,0.940423977,0.008975168,5,0.917763158,0.012844505
14,Wine,26,0.924382716,0.033915526,12,0.890432099,0.021549753
15,GunPointAgeSpan,28,0.94435654,0.012012703,7,0.935917722,0.020309332
16,GunPointMaleVersusFemale,26,0.966508439,0.013034471,9,0.963871308,0.014100638
17,ShapeletSim,1,1,0,2,1,0
18,BirdChicken,5,0.9375,0.04145781,1,0.8875,0.04768968
19,BeetleFly,13,1,0,3,0.9125,0.021650635
20,GunPointOldVersusYoung,26,0.974338624,0.003459444,12,0.968783069,0.005317395
21,ToeSegmentation2,16,0.940384615,0.022672743,3,0.932692308,0.018344985
22,PowerCons,18,0.863888889,0.013192414,7,0.830555556,0.016692367
23,DistalPhalanxOutlineCorrect,21,0.687198068,0.074326894,6,0.68115942,0.069620131
24,ProximalPhalanxOutlineCorrect,25,0.81672394,0.058827716,14,0.803550974,0.050909261
25,MiddlePhalanxOutlineCorrect,26,0.723940435,0.068119678,7,0.709335624,0.064607121
26,Herring,18,0.639322917,0.028378248,11,0.5859375,0.047521582
