,dataset,runtime,coef_of_var
0,Chinatown,1.6936348676681519,0.020743238692974012
1,ItalyPowerDemand,14.52018278837204,0.8826540459160064
2,SonyAIBORobotSurface1,18.51068341732025,0.09396300611747584
3,SonyAIBORobotSurface2,23.865602374076843,0.055399317037967286
4,TwoLeadECG,32.38857692480087,0.3992756000479699
5,MoteStrain,35.633504033088684,0.5691239982308862
6,ECGFiveDays,91.56960207223892,0.31486863069642
7,ECG200,251.77881622314453,0.2001905360393124
8,GunPoint,251.09550541639328,0.17279147311033816
9,DodgerLoopWeekend,400.59120029211044,0.23424325781684696
10,DodgerLoopGame,344.66867327690125,0.18248585689610225
11,Coffee,480.3184280991554,0.14211194737853128
12,FreezerSmallTrain,550.4397759437561,0.14820213413773126
13,ToeSegmentation1,755.7603552341461,0.15873608963788494
14,Wine,844.8353684544563,0.1711122665069511
15,GunPointAgeSpan,1136.0955240130424,0.18522433468677638
16,GunPointMaleVersusFemale,1148.516831457615,0.18277222227483533
17,ShapeletSim,1003.0738915205002,0.19202903070091265
18,BirdChicken,1010.9169585704803,0.1616182657851525
19,BeetleFly,1012.7898471951485,0.16943529660342427
20,GunPointOldVersusYoung,1190.4002150893211,0.2054895858760601
21,ToeSegmentation2,1148.080737709999,0.17028248485304567
22,PowerCons,1685.9676131606102,0.18636187068141796
23,DistalPhalanxOutlineCorrect,3815.254446387291,0.1989059625407996
24,ProximalPhalanxOutlineCorrect,3678.3914371728897,0.16301726166936942
25,MiddlePhalanxOutlineCorrect,3788.363448381424,0.18308378271864814
26,Herring,6596.614663898945,0.21160952286934293
27,FreezerRegularTrain,8192.852424919605,0.22241265465413648
28,Lightning2,12302.986246407032,0.15525643963884705
29,Ham,12386.321468353271,0.19026535484412033
30,HouseTwenty,41909.630976736546,0.15608900425910116
31,Yoga,82399.87866735458,0.2097594952952948
32,WormsTwoClass,132857.3821876049,0.22489908749872337
33,Strawberry,71938.18452745676,0.14548210029426042
34,Earthquakes,173052.61864745617,0.0857129852945103
35,Computers,195333.3522014618,0.08142431991129319
36,Wafer,74842.63292324543,0.17927386758171163
37,PhalangesOutlinesCorrect,38086.04042106867,0.12582612050388162
38,SmoothSubspace,5.1370819211006165,0.2542289551711615
39,BME,80.81565302610397,0.18069463761878238
40,CBF,79.31333434581757,0.14731213172669647
41,UMD,143.66773760318756,0.17508127150866118
42,ArrowHead,453.14337027072906,0.12627895202446315
43,InsectEPGSmallTrain,927.112594306469,0.10889860628049078
44,ProximalPhalanxOutlineAgeGroup,1393.5476474761963,0.07247407855184917
45,MiddlePhalanxOutlineAgeGroup,1357.7679467201233,0.016211811016428136
46,DistalPhalanxOutlineAgeGroup,1487.5116857290268,0.13284550517885824
47,Meat,3528.286451637745,0.10494296789474108
48,InsectEPGRegularTrain,6612.9034378528595,0.06902262864885374
49,DiatomSizeReduction,319.31647980213165,0.03292402399266596
50,FaceFour,652.6672930717468,0.15536632965361383
51,OliveOil,1960.8525540828705,0.05319331656241054
52,Trace,2380.047303020954,0.04612043039920318
53,Car,5292.909628093243,0.01677449360305743
54,Rock,9297.569450616837,0.4372951296072842
55,CinCECGTorso,16671.16296505928,0.05242474309457592
56,ChlorineConcentration,12792.927992582321,0.10232135167814992
57,LargeKitchenAppliances,225119.83725219965,0.2144675750764867
58,SmallKitchenAppliances,252856.0802052617,0.2734968596336811
59,ScreenType,215838.4310516715,0.2763820716162719
60,RefrigerationDevices,203363.54439532757,0.26673330459501543
61,TwoPatterns,49091.09757846594,1.3192316251397616
62,Beef,1001.0475562214851,0.15177788949622334
63,SyntheticControl,221.990136384964,0.060895492841699574
64,Symbols,793.5645253658295,0.01931459878667285
65,MiddlePhalanxTW,1203.816622376442,0.09454810639846102
66,ProximalPhalanxTW,1249.7521851062775,0.0696785962853313
67,DistalPhalanxTW,1336.3759148716927,0.0752050125680503
68,GesturePebbleZ1,12691.646829843521,0.007017048377501204
69,GesturePebbleZ2,14538.303390145302,0.02129037477225845
70,OSULeaf,15092.469455361366,0.09354960638335391
71,Plane,382.9832036495209,0.016222759350067763
72,DodgerLoopDay,1917.5994027853012,0.05419887465097598
73,Lightning7,2311.533044040203,0.04955157663590235
74,Fish,13235.051668286324,0.02647383078312972
75,Mallat,8801.303726375103,0.050616360462780174
76,ECG5000,7623.980435729027,0.06137885092854851
77,MixedShapesSmallTrain,27015.13911819458,0.12638748475844763
78,Haptics,63536.97672826052,0.0720147740649236
79,Worms,88309.92656475306,0.0180030954325641
80,InlineSkate,79504.09213531017,0.10179971379020225
81,UWaveGestureLibraryX,129408.28724390268,0.17357366782281425
82,UWaveGestureLibraryZ,148659.9119976163,0.03498156245354369
83,UWaveGestureLibraryY,144482.73377037048,0.03629544046386115
84,PickupGestureWiimoteZ,1972.2124358415604,0.01593546420375449
85,ShakeGestureWiimoteZ,2587.7756642103195,0.08476536904717615
86,Fungi,2365.7691700458527,0.0
87,ACSF1,28426.261329948902,0.07430866726306475
88,InsectWingbeatSound,3166.3948761224747,0.05028121260650984
89,FacesUCR,695.0844599604607,0.04067815495324842
90,MelbournePedestrian,300.6441456079483,0.7127502134131413
91,MedicalImages,1492.2434707283974,0.06134542093923504
92,AllGestureWiimoteX,32742.021483063698,0.12568378817971038
93,AllGestureWiimoteZ,34018.20577555895,0.1072615329906063
94,AllGestureWiimoteY,31504.222951591015,0.0638481163878062
95,CricketY,12238.546153783798,0.03547181737612065
96,CricketZ,11620.095203280449,0.07780550782124211
97,CricketX,11612.7584374547,0.07895940078940153
98,FaceAll,3058.504583775997,0.06610549237107556
99,SwedishLeaf,1889.614376604557,0.04734802990425859
100,WordSynonyms,6627.972885012627,0.0513078887372511
101,GestureMidAirD2,10711.44573199749,0.055509452875105524
102,GestureMidAirD1,11234.839331924915,0.058517957004806755
