,dataset,SScv_avg_k,SScv_mean_acc,SScv_std_acc,SSpi_avg_k,SSpi_mean_acc,SSpi_std_acc
0,Chinatown,5,0.977648202,0.002380457,3,0.966715258,0.005886318
1,ItalyPowerDemand,14,0.960722384,0.00529011,5,0.952380952,0.004315812
2,SonyAIBORobotSurface1,8,0.974348308,0.009641454,2,0.945507488,0.034258017
3,SonyAIBORobotSurface2,18,0.927422176,0.022345107,4,0.9098461,0.049373339
4,TwoLeadECG,16,0.968355018,0.027924989,2,0.955454964,0.026200359
5,MoteStrain,21,0.888926912,0.058968273,3,0.860851961,0.052221402
6,ECGFiveDays,14,0.961963916,0.065657101,2,0.953777634,0.074931213
7,ECG200,23,0.840833333,0.023964673,6,0.803333333,0.031622777
8,GunPoint,10,0.965,0.028862167,3,0.955555556,0.036413266
9,DodgerLoopWeekend,9,0.963164251,0.003959806,5,0.956521739,0.005123962
10,DodgerLoopGame,15,0.755434783,0.094301556,6,0.691425121,0.100341534
11,Coffee,2,0.955357143,0.038918741,1,0.94047619,0.048357371
12,FreezerSmallTrain,2,0.998684211,0.000872796,1,0.998596491,0.00085947
13,ToeSegmentation1,14,0.938596491,0.012828895,3,0.911184211,0.016422984
14,Wine,22,0.916666667,0.020704333,11,0.916666667,0.020704333
15,GunPointAgeSpan,14,0.935126582,0.020542555,5,0.928006329,0.021584235
16,GunPointMaleVersusFemale,12,0.95806962,0.011919715,9,0.954113924,0.010076463
17,ShapeletSim,6,0.992879747,0.01233264,4,0.992088608,0.013702934
18,BirdChicken,12,0.8375,0.054486237,2,0.8,0.061237244
19,BeetleFly,6,0.975,0.025,4,0.933333333,0.020412415
20,GunPointOldVersusYoung,29,0.968253968,0.003741306,11,0.962433862,0.001183105
21,ToeSegmentation2,14,0.910897436,0.02845894,4,0.891666667,0.029087311
22,PowerCons,22,0.821296296,0.022849931,8,0.794907407,0.038542883
23,DistalPhalanxOutlineCorrect,27,0.820652174,0.0102657,11,0.803442029,0.017321026
24,ProximalPhalanxOutlineCorrect,28,0.849656357,0.020814504,10,0.835051546,0.016932125
25,MiddlePhalanxOutlineCorrect,28,0.774627721,0.013610807,12,0.761168385,0.022307379
26,Herring,8,0.618489583,0.028616225,5,0.544270833,0.028645833
27,FreezerRegularTrain,3,0.905242142,0.158792487,3,0.879654605,0.201156236
28,Lightning2,15,0.699453552,0.039969232,6,0.636612022,0.03572868
29,Ham,16,0.725396825,0.035100547,5,0.706349206,0.043324902
30,HouseTwenty,15,0.901027077,0.09882968,4,0.879365079,0.101137388
31,Yoga,23,0.776023576,0.107675543,8,0.76695775,0.118298016
32,WormsTwoClass,17,0.723104257,0.026693952,6,0.685084416,0.038308952
33,Strawberry,18,0.884509185,0.116153721,10,0.867380367,0.131444934
34,Earthquakes,15,0.829634131,0.067000064,4,0.813891049,0.067916046
35,Computers,12,0.732160671,0.036740391,5,0.696901679,0.048910766
36,Wafer,5,0.919,0.140296115,2,0.912333333,0.151843121
37,PhalangesOutlinesCorrect,22,0.829156954,0.098963325,12,0.817599068,0.105311736
38,SmoothSubspace,17,0.922777778,0.023642136,7,0.908333333,0.018350161
39,BME,14,0.948333333,0.035079275,2,0.907777778,0.040870165
40,CBF,14,0.985,0.008183844,1,0.966481481,0.016402223
41,UMD,21,0.943287037,0.01091896,2,0.916666667,0.01612082
42,ArrowHead,17,0.78952381,0.028555551,4,0.775714286,0.017988406
43,InsectEPGSmallTrain,14,0.872176324,0.053401515,3,0.841296615,0.052894821
44,ProximalPhalanxOutlineAgeGroup,20,0.880487805,0.006554681,4,0.861788618,0.003635883
45,MiddlePhalanxOutlineAgeGroup,9,0.752705628,0.021228404,4,0.731060606,0.027777192
46,DistalPhalanxOutlineAgeGroup,17,0.847721823,0.009364808,6,0.814748201,0.018292741
47,Meat,6,0.966666667,0.016666667,3,0.952777778,0.01001542
48,InsectEPGRegularTrain,14,0.968423695,0.016265775,2,0.953698126,0.016242346
49,DiatomSizeReduction,22,0.953431373,0.001415074,2,0.902505447,0.004716914
50,FaceFour,7,1,0,1,0.991477273,0.00942223
51,OliveOil,8,0.9,0.062360956,3,0.863888889,0.071739842
52,Trace,5,1,0,2,0.9975,0.004330127
53,Car,11,0.801388889,0.122624024,5,0.772222222,0.133622372
54,Rock,21,0.742222222,0.064444444,4,0.730555556,0.069444444
55,CinCECGTorso,22,0.867306763,0.042261467,4,0.849214976,0.032153912
56,ChlorineConcentration,24,0.694247245,0.091504485,6,0.680643305,0.093437166
57,LargeKitchenAppliances,17,0.718195313,0.086761117,5,0.696446181,0.08237395
58,SmallKitchenAppliances,25,0.738444444,0.030588467,6,0.723333333,0.040385182
59,ScreenType,12,0.605333333,0.095287479,6,0.578888889,0.117229542
60,RefrigerationDevices,14,0.666666667,0.069418751,6,0.643555556,0.067888071
61,TwoPatterns,27,0.873305556,0.06686558,20,0.863965278,0.071705328
62,Beef,9,0.641666667,0.04992278,3,0.55,0.08660254
63,SyntheticControl,20,0.988611111,0.004992278,9,0.982777778,0.00869582
64,Symbols,7,0.969142937,0.023079285,5,0.966532663,0.020134003
65,MiddlePhalanxTW,16,0.612554113,0.010822511,5,0.589285714,0.02272083
66,ProximalPhalanxTW,16,0.829268293,0.014858266,5,0.79796748,0.011169619
67,DistalPhalanxTW,10,0.793764988,0.021247057,5,0.761990408,0.03938169
68,GesturePebbleZ1,15,0.882319726,0.055039656,10,0.851639619,0.058061979
69,GesturePebbleZ2,21,0.908963792,0.02704889,14,0.893472181,0.039160268
70,OSULeaf,20,0.809028141,0.056391753,6,0.754319664,0.090674648
71,Plane,9,1,0,2,0.99047619,0.004489567
72,DodgerLoopDay,16,0.5875,0.239483675,7,0.545535714,0.257179196
73,Lightning7,15,0.609874429,0.118100697,4,0.563869863,0.107982707
74,Fish,23,0.847886497,0.067884073,7,0.820097847,0.094116706
75,Mallat,24,0.790540156,0.062760225,6,0.776666667,0.06523428
76,ECG5000,25,0.886443378,0.093498938,5,0.880005883,0.094191932
77,MixedShapesSmallTrain,27,0.796407598,0.091753484,10,0.792401298,0.08790242
78,Haptics,23,0.533719597,0.153558436,8,0.506074329,0.160435712
79,Worms,15,0.633116883,0.101079007,9,0.579545455,0.093730379
80,InlineSkate,19,0.415627706,0.167809144,4,0.35512987,0.162171741
81,UWaveGestureLibraryX,25,0.539412974,0.203062774,8,0.484944419,0.250433278
82,UWaveGestureLibraryZ,28,0.728340778,0.018737289,11,0.717708915,0.020389394
83,UWaveGestureLibraryY,29,0.693234692,0.004593658,10,0.677019356,0.009308202
84,PickupGestureWiimoteZ,27,0.629652894,0.04390546,11,0.546890936,0.078922513
85,ShakeGestureWiimoteZ,25,0.68,0.097524926,12,0.565,0.091696965
86,Fungi,27,0.733333333,0,18,0.653333333,0
87,ACSF1,18,0.823333333,0.054006172,10,0.771666667,0.068576802
88,InsectWingbeatSound,23,0.654722222,0.101230905,4,0.642483165,0.096977101
89,FacesUCR,28,0.820318018,0.127902713,11,0.81240597,0.125006804
90,MelbournePedestrian,26,0.853833538,0.007976368,20,0.849801831,0.00799654
91,MedicalImages,26,0.727085536,0.078953233,10,0.714583109,0.083082325
92,AllGestureWiimoteX,30,0.619943609,0.064705514,14,0.60452381,0.062142857
93,AllGestureWiimoteZ,30,0.555238095,0,20,0.542380952,0
94,AllGestureWiimoteY,30,0.555238095,0,20,0.542380952,0
95,CricketY,27,0.723931624,0.010895341,17,0.705982906,0.004230553
96,CricketZ,24,0.736111111,0.014684634,18,0.735683761,0.030304991
97,CricketX,21,0.73974359,0.014384643,12,0.727564103,0.024139626
98,FaceAll,24,0.889497041,0.07596728,13,0.883563445,0.080354604
99,SwedishLeaf,28,0.918427219,0.017282721,15,0.909170809,0.017116278
100,WordSynonyms,27,0.635188088,0.005124098,12,0.626175549,0.004977157
101,GestureMidAirD2,16,0.598717949,0.020311512,8,0.553205128,0.017520065
102,GestureMidAirD1,24,0.676923077,0.040011504,10,0.65,0.037706259
103,GestureMidAirD3,23,0.429487179,0.021945183,11,0.399358974,0.018699939
104,Crop,30,0.392307692,0,13,0.379487179,0
105,Adiac,19,0.765345269,0.014167852,10,0.751918159,0.006846709
106,Phoneme,28,0.750213129,0,10,0.744245524,0
107,FiftyWords,28,0.750213129,0,10,0.744245524,0
108,PigAirwayPressure,28,0.750213129,0,10,0.744245524,0
109,PigArtPressure,28,0.750213129,0,10,0.744245524,0
110,PigCVP,28,0.750213129,0,10,0.744245524,0
111,ShapesAll,28,0.750213129,0,10,0.744245524,0
