,dataset,HC1,HC2,ROCKET,miniROCKET,ResNet,InceptionTime,FS,ST,LS,BSPCOVER,IPS,prototypeMP,DDPS-SScv,DDPS-SSpi
0,Chinatown,0.9618,0.9736,0.9676,0.969,0.9767,0.9854,,0.9648,,,,0.9776,0.9706,0.9563
1,ItalyPowerDemand,0.9589,0.9618,0.9609,0.9596,0.966,0.965,0.9051,0.9524,0.9563,0.965,0.966,0.9607,0.9559,0.9484
2,SonyAIBORobotSurface1,0.8475,0.9522,0.9579,0.948,0.9551,0.8686,0.6855,0.8299,0.9584,0.8835,0.985,0.9743,0.9595,0.8805
3,SonyAIBORobotSurface2,0.9398,0.9472,0.9357,0.9417,0.9664,0.9465,0.7852,0.939,0.915,0.9349,0.9171,0.9274,0.934,0.8792
4,TwoLeadECG,0.9967,0.999,0.9985,0.9972,1,0.9956,0.9097,0.9991,0.9965,0.9965,0.971,0.9684,0.9996,0.9834
5,MoteStrain,0.9349,0.9327,0.9058,0.9129,0.9257,0.8866,0.7828,0.9089,0.9137,0.9107,,0.8889,0.8539,0.8191
6,ECGFiveDays,0.994,0.997,0.9964,0.9905,0.993,1,0.9959,0.9792,1,1,0.9988,0.962,0.9992,0.9966
7,ECG200,0.858,0.8887,0.899,0.8993,0.89,0.93,0.773,0.8407,0.9,0.92,0.88,0.8408,0.8567,0.7967
8,GunPoint,0.9987,0.9989,0.99,0.9924,0.9933,1,0.9393,0.9853,1,1,1,0.965,0.9983,0.99
9,DodgerLoopWeekend,,,,,0.9638,0.971,,,,,,0.9632,0.9855,0.9801
10,DodgerLoopGame,,,,,0.6667,0.8551,,,,,,0.7554,0.756,0.6576
11,Coffee,0.994,0.9988,1,0.9988,1,1,0.9321,0.9893,1,1,1,0.9554,0.9732,0.9226
12,FreezerSmallTrain,0.985,0.9982,0.9863,0.9873,0.7126,0.8674,,0.9891,,,,0.9987,0.9967,0.9911
13,ToeSegmentation1,0.961,0.9554,0.9325,0.9411,0.9605,0.9649,,0.9494,0.9649,0.9649,0.9649,0.9386,0.9554,0.9466
14,Wine,0.8938,0.9247,0.9216,0.9278,0.8519,0.6111,,0.8796,0.9815,0.5556,,0.9167,0.9043,0.8627
15,GunPointAgeSpan,0.9966,0.9957,0.9936,0.9923,0.9968,0.9873,,0.9675,,,,0.9351,0.9573,0.9541
16,GunPointMaleVersusFemale,0.9999,1,0.9999,0.9999,0.9905,0.9937,,0.9876,,,,0.9581,0.9702,0.9678
17,ShapeletSim,1,1,0.9967,0.9996,0.9611,0.9556,,1,1,0.8444,0.8433,0.9929,1,0.9931
18,BirdChicken,0.9333,0.9517,0.88,0.9083,0.95,0.95,,0.8783,1,1,,0.8375,0.9417,0.8625
19,BeetleFly,0.9667,0.9033,0.8867,0.9067,0.85,0.8,,0.9383,0.95,0.9,0.9,0.975,0.9833,0.9125
20,GunPointOldVersusYoung,1,1,0.9894,1,0.9873,0.9651,,0.9785,,,,0.9683,0.9762,0.9738
21,ToeSegmentation2,0.9646,0.9603,0.9328,0.94,0.8846,0.9385,,0.9297,0.9308,0.9154,,0.9109,0.9397,0.9231
